device,motif_number,power,window_size
Hair_straightener,2,"[73.75714285714285, 73.2375, 72.74285714285715, 72.10000000000001, 71.4875, 71.05714285714286, 70.71428571428571, 70.25, 69.65714285714286, 69.15714285714286, 68.75714285714285, 68.37142857142858, 67.9125, 67.52857142857142, 67.21428571428571, 66.77142857142857, 66.3875, 65.9, 65.51428571428572, 65.1875, 64.83333333333333, 62.08571428571429, 32.2125, 1.4, 1.4, 1.4, 1.4, 1.4, 0.8857142857142856, 0.2, 0.2, 0.2, 0.20000000000000004, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.20000000000000004, 0.20000000000000004, 0.2, 587.1]",60
Hair_straightener,3,"[84.82857142857142, 83.97142857142856, 83.11428571428571, 82.45, 81.61428571428571, 80.81428571428572, 80.3, 79.45714285714287, 78.68571428571428, 78.1, 77.41428571428571, 76.75714285714285, 76.3125, 75.68571428571428, 74.89999999999999, 74.35, 73.75714285714285, 73.2375, 72.74285714285715, 72.10000000000001, 71.4875, 71.05714285714286, 70.71428571428571, 70.25, 69.65714285714286, 69.15714285714286, 68.75714285714285, 68.37142857142858, 67.9125, 67.52857142857142, 67.21428571428571, 66.77142857142857, 66.3875, 65.9, 65.51428571428572, 65.1875, 64.83333333333333, 62.08571428571429, 32.2125, 1.4, 1.4, 1.4, 1.4, 1.4, 0.8857142857142856, 0.2, 0.2, 0.2, 0.20000000000000004, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]",60
Hair_straightener,4,"[86.89999999999999, 85.67142857142858, 84.64999999999999, 83.58571428571429, 82.51428571428572, 81.60000000000001, 80.63333333333334, 79.8, 79.05, 78.45714285714287, 77.48571428571428, 76.88333333333333, 76.27142857142857, 75.62857142857142, 75.01666666666667, 74.44285714285715, 73.88571428571429, 73.17142857142858, 72.83333333333333, 72.21428571428571, 71.81428571428572, 71.14285714285714, 70.72, 70.14999999999999, 69.71428571428571, 50.48571428571428, 36.8, 36.8, 36.8, 36.8, 10.728571428571428, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.2, 0.20000000000000004, 0.2, 0.2, 0.20000000000000004, 0.20000000000000004, 0.2, 0.20000000000000004, 0.2, 0.2, 0.2, 0.20000000000000004, 0.2, 0.20000000000000004, 0.2, 0.2, 0.20000000000000004, 0.2, 0.2, 0.20000000000000004, 0.2, 0.2, 0.20000000000000004]",60
Hair_straightener,5,"[847.68, 254.72857142857143, 199.35, 170.1142857142857, 151.1125, 137.97142857142856, 129.3857142857143, 123.88571428571427, 118.68571428571428, 115.1, 111.0, 110.0, 106.525, 104.35714285714286, 102.01428571428572, 100.06666666666666, 98.1, 96.60000000000001, 95.03333333333335, 93.8125, 92.31428571428572, 91.10000000000001, 90.0625, 88.86666666666667, 87.85, 86.93333333333334, 85.78571428571429, 84.89999999999999, 84.0, 83.31428571428572, 82.42857142857143, 81.575, 80.81428571428572, 80.075, 79.1875, 78.71428571428571, 77.94285714285715, 77.3875, 76.68571428571428, 76.02857142857144, 75.3, 74.74285714285715, 74.175, 73.60000000000001, 73.0, 72.45, 71.8, 71.4, 70.975, 70.375, 69.84285714285714, 69.35714285714286, 68.91428571428571, 68.525, 68.04285714285713, 67.575, 32.614285714285714, 27.1, 27.1, 27.1]",60
Slushi_maker,1,"[44.849999999999994, 44.75, 44.7, 44.699999999999996, 44.4, 44.7, 44.55, 44.53333333333333, 44.7, 44.4, 44.75, 44.6, 44.55, 44.8, 44.6, 44.8, 44.63333333333333, 44.55, 44.7, 44.55, 44.70000000000001, 44.4, 44.7, 44.7, 44.650000000000006, 44.46666666666667, 44.3, 44.400000000000006, 44.599999999999994, 44.4, 44.599999999999994, 44.4, 44.349999999999994, 44.6, 44.56666666666666, 44.4, 44.6, 44.349999999999994, 44.56666666666666, 44.4, 44.599999999999994, 44.6, 44.5, 44.6, 44.25, 44.6, 44.55, 44.43333333333334, 44.8, 44.4, 44.45, 44.55, 44.53333333333333, 44.7, 44.3, 44.65, 44.8, 44.5, 44.9, 844.45]",60
Slushi_maker,2,"[163.60000000000002, 43.6, 43.6, 43.666666666666664, 43.4, 43.55, 43.6, 43.4, 43.4, 43.45, 43.5, 43.6, 43.46666666666667, 43.5, 43.349999999999994, 43.4, 43.5, 43.333333333333336, 43.5, 43.349999999999994, 43.5, 43.46666666666667, 43.599999999999994, 43.55, 43.4, 43.55, 43.333333333333336, 43.35, 43.4, 43.35, 43.46666666666667, 43.3, 43.3, 43.349999999999994, 43.3, 43.26666666666667, 43.3, 43.349999999999994, 43.3, 43.333333333333336, 43.45, 43.400000000000006, 43.55, 43.4, 43.4, 43.4, 43.55, 43.5, 43.5, 43.5, 43.55, 43.4, 43.5, 43.4, 43.7, 43.45, 43.65, 43.666666666666664, 43.45, 43.75]",60
Slushi_maker,3,"[160.95, 161.13333333333335, 161.55, 160.3, 160.89999999999998, 161.6, 160.85, 161.25, 161.25, 160.35, 161.33333333333334, 161.14999999999998, 161.3, 161.39999999999998, 161.4333333333333, 161.85000000000002, 162.25, 161.35, 161.23333333333332, 162.3, 162.4, 161.8, 162.7, 161.73333333333332, 161.89999999999998, 161.4, 162.15, 161.45, 83.16666666666667, 43.85, 43.8, 43.75, 43.833333333333336, 43.7, 43.8, 43.75, 43.800000000000004, 43.6, 43.75, 43.8, 43.6, 43.666666666666664, 43.849999999999994, 43.65, 43.8, 43.63333333333333, 43.75, 43.650000000000006, 43.7, 43.650000000000006, 43.666666666666664, 43.5, 43.75, 43.65, 43.53333333333333, 43.5, 43.75, 43.5, 43.6, 43.46666666666667]",60
Slushi_maker,4,"[160.35, 160.8, 160.2, 160.6, 160.35000000000002, 161.5, 160.5, 161.20000000000002, 161.2, 160.33333333333334, 161.2, 160.25, 160.73333333333335, 160.5, 160.75, 161.75, 160.95, 161.13333333333335, 161.55, 160.3, 160.89999999999998, 161.6, 160.85, 161.25, 161.25, 160.35, 161.33333333333334, 161.14999999999998, 161.3, 161.39999999999998, 161.4333333333333, 161.85000000000002, 162.25, 161.35, 161.23333333333332, 162.3, 162.4, 161.8, 162.7, 161.73333333333332, 161.89999999999998, 161.4, 162.15, 161.45, 83.16666666666667, 43.85, 43.8, 43.75, 43.833333333333336, 43.7, 43.8, 43.75, 43.800000000000004, 43.6, 43.75, 43.8, 43.6, 43.666666666666664, 43.849999999999994, 43.65]",60
Slushi_maker,5,"[175.96666666666667, 178.0, 179.1, 181.05, 182.2, 182.63333333333333, 182.89999999999998, 182.35000000000002, 181.55, 180.36666666666667, 178.95, 177.45, 175.25, 173.6, 171.53333333333333, 170.35, 169.65, 168.5, 167.79999999999998, 166.45, 165.89999999999998, 164.95, 164.6, 163.4, 163.4, 163.2, 162.3, 162.66666666666666, 161.75, 161.8, 161.14999999999998, 161.5666666666667, 160.7, 161.6, 160.4, 160.9, 159.9333333333333, 160.2, 160.85000000000002, 159.39999999999998, 159.89999999999998, 158.9333333333333, 159.15, 159.9, 159.8, 158.93333333333334, 159.95, 158.7, 159.8, 159.75, 159.4, 158.8, 159.0, 160.0, 159.20000000000002, 159.6, 159.5, 159.15, 159.63333333333333, 159.25]",60
Steamer,1,"[1671.0, 1670.5555555555557, 1667.2, 1665.0, 1666.3333333333333, 1667.6666666666667, 1669.0, 1669.0, 1669.3636363636363, 1670.0, 1669.6666666666667, 1669.3333333333333, 1669.0, 1669.8, 1671.0, 1671.0, 1671.0, 1671.0, 1671.0, 1671.4, 1671.0, 1671.0, 1671.0, 1671.0, 1671.0, 1671.0, 1670.111111111111, 1670.4, 1669.3333333333333, 1670.4, 1669.6, 1669.6, 1666.5, 1669.0, 1669.0, 470.1818181818182, 4.625, 4.7, 4.5, 4.375, 4.4, 5.0, 4.555555555555555, 21.444444444444443, 1667.090909090909, 1676.111111111111, 1675.0, 1673.4, 1673.0, 1673.0, 1670.6, 1673.0, 1671.6666666666667, 1671.0, 1671.0, 1670.4444444444443, 1669.888888888889, 1669.3333333333333, 1670.5555555555557, 1671.0]",60
Steamer,2,"[1675.4444444444443, 1676.0, 1675.2727272727273, 1675.0, 1675.6, 1675.4, 1676.0, 1675.4, 1675.8, 1675.0, 1675.0, 1675.0, 1675.0, 1675.0, 1675.0, 1675.0, 1675.0, 1675.0, 848.7777777777778, 5.333333333333333, 4.0, 4.0, 4.0, 4.0, 4.538461538461538, 4.444444444444445, 1092.6666666666667, 1682.6666666666667, 1680.3636363636363, 1678.4, 1676.1818181818182, 1676.0, 1676.0, 1676.0, 1676.0, 1675.5555555555557, 1676.0, 1676.0, 1676.0, 1676.0, 1676.0, 1676.0, 1678.0, 1677.6, 1676.0, 1677.2, 1678.0, 1676.7272727272727, 1676.0, 1676.0, 1676.0, 1676.0, 1676.0, 1676.0, 1676.0, 1676.0, 1676.0, 1675.6153846153845, 1676.0, 1676.0]",60
Steamer,3,"[1660.0, 1660.0, 1660.0, 1660.0, 1660.0, 1661.111111111111, 1663.2, 1663.3333333333333, 1662.0, 1662.6666666666667, 1662.0, 1664.0, 1664.0, 1662.8, 1664.2, 1664.5, 1664.0, 1664.0, 1664.5, 1665.0, 1665.0, 1665.0, 1665.4, 1664.2, 1664.2222222222222, 1664.2, 905.725, 147.25, 4.4, 5.0, 4.8, 5.0, 5.0, 5.0, 5.0, 1116.2, 1666.2, 1664.3333333333333, 1664.0, 1664.0, 1664.0, 1662.6666666666667, 1661.75, 1660.4, 1662.0, 1663.6666666666667, 1665.3333333333333, 1667.0, 1667.0, 1667.0, 1669.4444444444443, 1667.0, 1666.111111111111, 1667.0, 1667.0, 1667.4, 1668.2, 1669.0, 1669.0, 1668.6]",60
Steamer,4,"[1682.0, 1680.0, 1677.6, 1678.0, 1675.6, 1676.0, 1675.6, 1676.0, 1676.0, 1676.4, 1676.0, 1676.0, 1676.0, 1676.0, 1675.8, 1675.8, 1675.8, 1675.2, 1673.8, 1671.0, 1671.0, 1671.0, 1671.0, 1667.8, 87.33333333333333, 5.0, 5.0, 5.0, 5.0, 5.0, 4.2, 5.0, 853.4, 1681.3333333333333, 1678.3636363636363, 1676.4, 1675.6, 1675.0, 1675.6, 1676.0, 1677.2, 1678.0, 1675.4, 1676.0, 1676.0, 1676.0, 1676.0, 1676.0, 1676.0, 1676.0, 1676.0, 1676.0, 1676.0, 1676.4, 1676.4, 1676.0, 1675.2, 1675.0, 1675.2, 1676.0]",60
Steamer,5,"[1673.0, 1673.0, 1673.0, 1673.0, 1673.0, 1673.0, 1673.0, 1673.0, 1673.0, 1673.0, 1673.0, 1673.6, 1674.2, 1672.6363636363637, 1672.6, 1672.4545454545455, 1671.0, 1671.0, 1670.5555555555557, 1667.2, 1665.0, 1666.3333333333333, 1667.6666666666667, 1669.0, 1669.0, 1669.3636363636363, 1670.0, 1669.6666666666667, 1669.3333333333333, 1669.0, 1669.8, 1671.0, 1671.0, 1671.0, 1671.0, 1671.0, 1671.4, 1671.0, 1671.0, 1671.0, 1671.0, 1671.0, 1671.0, 1670.111111111111, 1670.4, 1669.3333333333333, 1670.4, 1669.6, 1669.6, 1666.5, 1669.0, 1669.0, 470.1818181818182, 4.625, 4.7, 4.5, 4.375, 4.4, 5.0, 4.555555555555555]",60
Airfryer,1,"[35.2, 35.150000000000006, 35.11666666666667, 35.142857142857146, 35.175000000000004, 35.225, 35.13333333333333, 35.19166666666666, 35.25, 35.166666666666664, 35.2, 35.160000000000004, 35.25714285714286, 35.17142857142857, 35.1, 35.1, 35.220000000000006, 35.1, 35.175000000000004, 35.1875, 35.199999999999996, 35.275, 35.271428571428565, 35.25714285714286, 35.1, 35.15833333333333, 35.21666666666667, 35.125, 35.25, 35.142857142857146, 35.2, 35.3, 35.2, 35.3, 35.285714285714285, 35.339999999999996, 35.375, 35.333333333333336, 35.24285714285714, 35.31428571428571, 35.36, 35.357142857142854, 35.34285714285714, 35.3, 35.349999999999994, 35.32, 35.4, 35.3, 35.3, 35.387499999999996, 35.5, 35.375, 35.34285714285714, 35.285714285714285, 35.34285714285714, 35.4, 35.3, 35.31428571428571, 35.28333333333333, 35.3, 35.42857142857143, 35.4, 35.324999999999996, 35.28333333333333, 35.291666666666664, 35.3, 35.41428571428571, 35.266666666666666, 35.3125, 35.36666666666667, 35.480000000000004, 35.31666666666666, 35.44, 35.44285714285714, 736.0642857142857, 1436.685714285714, 1554.9199999999998, 1553.8, 1553.0, 1552.75, 1551.5, 1549.9, 1549.9, 1549.9, 1549.2142857142858, 1548.3, 1547.6333333333332, 1546.9666666666665, 1546.7, 1546.7, 1545.2, 1544.5142857142857, 1543.6, 1543.6, 1543.6, 1543.6, 1542.8, 1542.0, 1542.0, 1542.0, 1542.0, 1542.0, 1541.625, 1540.5, 1540.5, 1540.5, 1540.5, 1539.8600000000001, 1539.22, 1538.9, 1538.5785714285716, 1538.257142857143, 1537.4000000000003, 1536.7142857142858, 1535.8, 1535.1571428571428, 1535.8, 1535.3, 1534.3, 1534.3]",120
Airfryer,2,"[1556.2, 1554.8285714285714, 1554.6, 1554.6, 1553.4, 1553.0, 1553.9142857142856, 1552.25, 1551.5, 1552.5, 1552.7857142857142, 1552.357142857143, 1550.4333333333334, 1550.357142857143, 1549.4428571428573, 1548.3, 1548.6200000000001, 1548.3, 1547.34, 1546.7, 1546.7, 1544.7285714285715, 1543.6, 1543.0666666666666, 1544.0, 1543.142857142857, 1544.7428571428572, 1544.7428571428572, 1543.0, 1542.0, 1542.0, 1540.875, 1540.5, 1540.9285714285713, 1541.4, 1538.257142857143, 1536.3333333333333, 1536.0285714285715, 1535.8, 1535.8, 1535.8, 1534.8625, 253.60000000000002, 34.371428571428574, 34.233333333333334, 34.3, 34.233333333333334, 34.4, 34.239999999999995, 34.325, 34.31428571428571, 34.17142857142857, 34.3, 34.3, 34.260000000000005, 34.285714285714285, 34.199999999999996, 34.3, 34.300000000000004, 34.228571428571435, 34.28333333333333, 34.3125, 34.279999999999994, 34.271428571428565, 34.271428571428565, 34.28333333333333, 34.25714285714285, 34.34285714285714, 34.42857142857143, 34.3, 34.4, 34.275, 34.27142857142857, 34.42857142857143, 34.357142857142854, 34.271428571428565, 34.266666666666666, 34.32, 34.285714285714285, 34.275, 34.333333333333336, 34.36666666666667, 34.37777777777778, 34.388888888888886, 34.4, 34.36666666666667, 34.357142857142854, 34.357142857142854, 34.25714285714286, 34.339999999999996, 34.375, 34.38333333333333, 34.391666666666666, 34.4, 34.4, 34.3, 34.32857142857143, 34.41428571428571, 34.357142857142854, 34.357142857142854, 34.475, 34.4, 34.38333333333333, 34.36666666666667, 34.528571428571425, 34.56, 34.4, 34.31428571428571, 34.44285714285714, 34.483333333333334, 34.349999999999994, 34.349999999999994, 34.339999999999996, 34.45, 34.379999999999995, 34.425, 34.51428571428571, 34.385714285714286, 34.48571428571429, 34.471428571428575]",120
Airfryer,3,"[1557.8, 1556.2, 1555.5142857142857, 1554.6, 1553.0, 1552.5, 1553.0, 1552.7857142857142, 1551.5, 1550.814285714286, 1550.4333333333334, 1549.3666666666668, 1549.9, 1549.5800000000002, 1548.3, 1548.3, 1546.7, 1546.7, 1545.2, 1545.2, 1545.2, 1544.6666666666667, 1544.24, 1543.3714285714284, 1542.8, 1542.6399999999999, 1542.3200000000002, 1542.0, 1540.5, 1540.5, 1539.3000000000002, 1537.7, 1537.4, 1537.4, 1535.8, 1535.8, 1535.8, 1535.5, 1534.3, 1534.3, 1533.02, 1532.7, 1535.8200000000002, 1531.95, 1528.5, 1526.6, 1526.142857142857, 1525.2285714285715, 1525.7542857142857, 1526.28, 1525.0, 1525.0, 1525.0, 1525.0, 1524.7, 1523.8, 911.8, 299.8, 34.5, 34.457142857142856, 34.41428571428571, 34.44, 34.385714285714286, 34.38333333333333, 34.3, 34.416666666666664, 34.36666666666667, 34.35, 34.333333333333336, 34.31666666666666, 34.3, 34.166666666666664, 34.271428571428565, 34.3, 34.300000000000004, 34.214285714285715, 34.25, 34.271428571428565, 34.2, 34.239999999999995, 34.29857142857142, 34.357142857142854, 34.25, 34.228571428571435, 34.27142857142857, 34.24285714285714, 34.20892857142857, 34.175000000000004, 34.17142857142857, 34.175000000000004, 34.13333333333333, 34.18333333333334, 34.1, 34.083333333333336, 34.09166666666667, 34.1, 34.160000000000004, 34.22857142857143, 34.125, 34.15, 34.199999999999996, 34.212500000000006, 34.24285714285714, 34.25, 34.1875, 34.1, 34.22857142857143, 34.214285714285715, 34.17142857142857, 34.266666666666666, 34.275, 34.2175, 34.160000000000004, 34.3, 34.3, 34.233333333333334, 34.239999999999995, 34.225, 34.25, 34.265]",120
Airfryer,4,"[1555.6666666666667, 1554.142857142857, 1553.0, 1552.357142857143, 1551.5, 1550.9666666666665, 1550.357142857143, 1549.4428571428573, 1548.3, 1547.3857142857144, 1546.45, 1546.2714285714285, 1546.45, 1549.1000000000001, 1548.3, 1547.5, 1547.2333333333333, 1546.9666666666667, 1546.7, 1548.3, 1548.3, 1546.7, 1545.7, 1545.2, 1544.8799999999999, 1544.0571428571427, 1543.142857142857, 1545.2, 1543.8285714285714, 1542.0, 1542.0, 1542.0, 1541.625, 1540.5, 1540.5, 1540.042857142857, 1539.5857142857144, 1539.814285714286, 1540.4714285714285, 1542.0, 1540.5, 1163.9875, 787.475, 410.9625000000001, 34.45, 34.416666666666664, 34.53333333333333, 34.4, 34.43333333333333, 34.46666666666667, 34.5, 34.46666666666667, 34.46666666666667, 34.48571428571429, 34.6, 34.5, 34.44, 34.6, 34.53333333333333, 34.55, 34.5, 34.528571428571425, 34.53333333333333, 34.55714285714286, 34.542857142857144, 34.57142857142857, 34.43333333333333, 34.519999999999996, 34.371428571428574, 34.271428571428565, 34.233333333333334, 34.34285714285714, 34.471428571428575, 34.46666666666667, 34.385714285714286, 34.38333333333333, 34.385714285714286, 34.471428571428575, 34.6, 34.44, 34.32857142857143, 34.266666666666666, 34.28333333333333, 34.3, 34.32857142857143, 34.31428571428571, 34.28333333333333, 34.35, 34.31428571428571, 34.339999999999996, 34.3, 34.34285714285714, 34.31428571428571, 34.41428571428571, 34.36666666666667, 34.4, 34.457142857142856, 34.42857142857143, 34.55, 34.471428571428575, 34.457142857142856, 34.51428571428571, 34.41428571428571, 34.4375, 34.56666666666667, 34.5125, 34.42857142857143, 34.43333333333333, 34.5, 34.4, 34.43333333333333, 34.528571428571425, 34.5, 34.550000000000004, 34.6, 34.45, 34.528571428571425, 34.550000000000004, 34.51428571428571, 34.56666666666667]",120
Airfryer,5,"[34.385714285714286, 34.32857142857143, 34.27142857142857, 34.333333333333336, 34.285714285714285, 34.31428571428571, 34.34285714285714, 34.371428571428574, 34.385714285714286, 34.3, 34.2, 34.285714285714285, 34.2, 34.25714285714286, 34.228571428571435, 34.285714285714285, 34.32857142857143, 34.214285714285715, 34.31428571428571, 34.285714285714285, 34.275, 34.228571428571435, 34.15714285714286, 34.28, 34.279999999999994, 34.28, 34.25, 34.275, 0.0, 0.0, 668.0857142857143, 1555.6666666666667, 1554.142857142857, 1553.0, 1552.357142857143, 1551.5, 1550.9666666666665, 1550.357142857143, 1549.4428571428573, 1548.3, 1547.3857142857144, 1546.45, 1546.2714285714285, 1546.45, 1549.1000000000001, 1548.3, 1547.5, 1547.2333333333333, 1546.9666666666667, 1546.7, 1548.3, 1548.3, 1546.7, 1545.7, 1545.2, 1544.8799999999999, 1544.0571428571427, 1543.142857142857, 1545.2, 1543.8285714285714, 1542.0, 1542.0, 1542.0, 1541.625, 1540.5, 1540.5, 1540.042857142857, 1539.5857142857144, 1539.814285714286, 1540.4714285714285, 1542.0, 1540.5, 1163.9875, 787.475, 410.9625000000001, 34.45, 34.416666666666664, 34.53333333333333, 34.4, 34.43333333333333, 34.46666666666667, 34.5, 34.46666666666667, 34.46666666666667, 34.48571428571429, 34.6, 34.5, 34.44, 34.6, 34.53333333333333, 34.55, 34.5, 34.528571428571425, 34.53333333333333, 34.55714285714286, 34.542857142857144, 34.57142857142857, 34.43333333333333, 34.519999999999996, 34.371428571428574, 34.271428571428565, 34.233333333333334, 34.34285714285714, 34.471428571428575, 34.46666666666667, 34.385714285714286, 34.38333333333333, 34.385714285714286, 34.471428571428575, 34.6, 34.44, 34.32857142857143, 34.266666666666666, 34.28333333333333, 34.3, 34.32857142857143, 34.31428571428571, 34.28333333333333, 34.35, 34.31428571428571]",120
Kettle,1,"[33.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",120
Kettle,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 794.157142857143]",120
Kettle,3,"[2117.3, 2116.8, 2117.6571428571433, 2116.8, 2116.8, 2117.3, 2116.8, 2116.8, 2114.7285714285713, 2115.1428571428573, 2116.8, 2116.8, 2118.8, 2118.514285714286, 2118.514285714286, 2116.8, 2116.8, 2116.8, 2116.8, 2116.8, 2116.8, 2116.8, 2116.8, 2116.8, 2116.8, 2114.3833333333337, 2116.316666666667, 2116.8, 2116.8, 2116.8, 2115.9714285714285, 2116.8, 2116.8, 2116.316666666667, 2113.0714285714284, 2113.9, 2113.9, 2114.7285714285713, 2115.35, 2117.2285714285717, 2115.35, 924.25, 39.9, 33.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",120
Kettle,4,"[2121.54, 2122.7, 2120.766666666667, 2119.8, 2119.8, 2118.8, 2118.514285714286, 2118.8, 2119.8, 2118.8, 2116.8, 2116.8, 2116.8, 2114.7285714285713, 2112.9333333333334, 2113.9, 2114.866666666667, 2113.9, 2112.2428571428572, 2111.0, 2111.828571428571, 2113.9, 2113.9, 2113.9, 2113.9, 2113.32, 2113.9, 2113.9, 2115.9714285714285, 2119.8, 2119.8, 2117.3, 2116.8, 2117.6571428571433, 2116.8, 2116.8, 2117.3, 2116.8, 2116.8, 2114.7285714285713, 2115.1428571428573, 2116.8, 2116.8, 2118.8, 2118.514285714286, 2118.514285714286, 2116.8, 2116.8, 2116.8, 2116.8, 2116.8, 2116.8, 2116.8, 2116.8, 2116.8, 2116.8, 2114.3833333333337, 2116.316666666667, 2116.8, 2116.8, 2116.8, 2115.9714285714285, 2116.8, 2116.8, 2116.316666666667, 2113.0714285714284, 2113.9, 2113.9, 2114.7285714285713, 2115.35, 2117.2285714285717, 2115.35, 924.25, 39.9, 33.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",120
Kettle,5,"[2134.6, 2131.7, 2131.7, 2131.7, 2131.7, 2131.7, 2130.95, 2132.6666666666665, 2131.7, 2130.7, 2128.7, 2128.7, 2128.7, 2128.7, 2128.7, 2128.7, 2128.7, 2128.7, 2128.7, 2119.8, 2119.8, 2123.5571428571425, 2122.7, 2122.7, 2122.7, 2122.7, 2121.042857142857, 2121.733333333333, 2122.7, 2121.733333333333, 2121.975, 2121.54, 2122.7, 2120.766666666667, 2119.8, 2119.8, 2118.8, 2118.514285714286, 2118.8, 2119.8, 2118.8, 2116.8, 2116.8, 2116.8, 2114.7285714285713, 2112.9333333333334, 2113.9, 2114.866666666667, 2113.9, 2112.2428571428572, 2111.0, 2111.828571428571, 2113.9, 2113.9, 2113.9, 2113.9, 2113.32, 2113.9, 2113.9, 2115.9714285714285, 2119.8, 2119.8, 2117.3, 2116.8, 2117.6571428571433, 2116.8, 2116.8, 2117.3, 2116.8, 2116.8, 2114.7285714285713, 2115.1428571428573, 2116.8, 2116.8, 2118.8, 2118.514285714286, 2118.514285714286, 2116.8, 2116.8, 2116.8, 2116.8, 2116.8, 2116.8, 2116.8, 2116.8, 2116.8, 2116.8, 2114.3833333333337, 2116.316666666667, 2116.8, 2116.8, 2116.8, 2115.9714285714285, 2116.8, 2116.8, 2116.316666666667, 2113.0714285714284, 2113.9, 2113.9, 2114.7285714285713, 2115.35, 2117.2285714285717, 2115.35, 924.25, 39.9, 33.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",120
